Week, cranberry, cranberry (std error)
Jan 4 2004, 0.85, 10
Jan 11 2004, 0.85, 10
Jan 18 2004, 0.70, 10
Jan 25 2004, 0.70, 10
Feb 1 2004, 0.65, 10
Feb 8 2004, 0.70, 10
Feb 15 2004, 0.70, 10
Feb 22 2004, 0.65, 10
Feb 29 2004, 0.70, 10
Mar 7 2004, 0.70, 10
Mar 14 2004, 0.75, 10
Mar 21 2004, 0.70, 10
Mar 28 2004, 0.70, 10
Apr 4 2004, 0.70, 10
Apr 11 2004, 0.85, 10
Apr 18 2004, 0.75, 10
Apr 25 2004, 0.70, 10
May 2 2004, 0.75, 10
May 9 2004, 0.70, 10
May 16 2004, 0.70, 10
May 23 2004, 0.70, 10
May 30 2004, 0.70, 10
Jun 6 2004, 0.75, 10
Jun 13 2004, 0.70, 10
Jun 20 2004, 0.70, 10
Jun 27 2004, 0.75, 10
Jul 4 2004, 0.70, 10
Jul 11 2004, 0.70, 10
Jul 18 2004, 0.80, 10
Jul 25 2004, 0.85, 10
Aug 1 2004, 0.70, 10
Aug 8 2004, 0.85, 10
Aug 15 2004, 0.75, 10
Aug 22 2004, 0.85, 5
Aug 29 2004, 0.80, 10
Sep 5 2004, 0.75, 10
Sep 12 2004, 0.95, 5
Sep 19 2004, 0.95, 5
Sep 26 2004, 0.90, 5
Oct 3 2004, 1.15, 5
Oct 10 2004, 1.10, 5
Oct 17 2004, 1.00, 5
Oct 24 2004, 0.95, 5
Oct 31 2004, 1.05, 5
Nov 7 2004, 1.40, 5
Nov 14 2004, 2.25, 3
Nov 21 2004, 5.35, 2
Nov 28 2004, 1.30, 5
Dec 5 2004, 1.55, 5
Dec 12 2004, 1.65, 5
Dec 19 2004, 2.90, 3
Dec 26 2004, 1.20, 5
Jan 2 2005, 0.90, 5
Jan 9 2005, 0.85, 5
Jan 16 2005, 0.80, 5
Jan 23 2005, 0.75, 5
Jan 30 2005, 0.75, 5
Feb 6 2005, 0.70, 10
Feb 13 2005, 0.70, 5
Feb 20 2005, 0.70, 5
Feb 27 2005, 0.65, 10
Mar 6 2005, 0.75, 5
Mar 13 2005, 0.70, 5
Mar 20 2005, 0.75, 5
Mar 27 2005, 0.70, 5
Apr 3 2005, 0.65, 10
Apr 10 2005, 0.75, 5
Apr 17 2005, 0.70, 5
Apr 24 2005, 0.75, 5
May 1 2005, 0.75, 5
May 8 2005, 0.65, 5
May 15 2005, 0.65, 5
May 22 2005, 0.75, 5
May 29 2005, 0.65, 5
Jun 5 2005, 0.75, 5
Jun 12 2005, 0.70, 5
Jun 19 2005, 0.70, 5
Jun 26 2005, 0.75, 5
Jul 3 2005, 0.75, 5
Jul 10 2005, 0.80, 5
Jul 17 2005, 0.80, 5
Jul 24 2005, 0.85, 5
Jul 31 2005, 0.80, 5
Aug 7 2005, 0.85, 5
Aug 14 2005, 0.75, 5
Aug 21 2005, 0.85, 5
Aug 28 2005, 0.85, 5
Sep 4 2005, 0.75, 5
Sep 11 2005, 0.85, 5
Sep 18 2005, 0.95, 5
Sep 25 2005, 0.85, 5
Oct 2 2005, 1.05, 5
Oct 9 2005, 1.10, 5
Oct 16 2005, 0.90, 5
Oct 23 2005, 0.95, 5
Oct 30 2005, 1.10, 5
Nov 6 2005, 1.30, 5
Nov 13 2005, 2.30, 3
Nov 20 2005, 5.60, 2
Nov 27 2005, 1.50, 3
Dec 4 2005, 1.50, 3
Dec 11 2005, 1.65, 3
Dec 18 2005, 2.85, 3
Dec 25 2005, 1.55, 5
Jan 1 2006, 0.85, 5
Jan 8 2006, 0.75, 5
Jan 15 2006, 0.75, 5
Jan 22 2006, 0.70, 5
Jan 29 2006, 0.65, 5
Feb 5 2006, 0.70, 5
Feb 12 2006, 0.75, 5
Feb 19 2006, 0.70, 5
Feb 26 2006, 0.65, 5
Mar 5 2006, 0.70, 5
Mar 12 2006, 0.65, 5
Mar 19 2006, 0.65, 5
Mar 26 2006, 0.65, 5
Apr 2 2006, 0.65, 5
Apr 9 2006, 0.75, 5
Apr 16 2006, 0.65, 5
Apr 23 2006, 0.65, 5
Apr 30 2006, 0.65, 5
May 7 2006, 0.65, 5
May 14 2006, 0.65, 5
May 21 2006, 0.65, 5
May 28 2006, 0.65, 5
Jun 4 2006, 0.70, 5
Jun 11 2006, 0.70, 5
Jun 18 2006, 0.70, 5
Jun 25 2006, 0.70, 5
Jul 2 2006, 0.80, 5
Jul 9 2006, 0.80, 5
Jul 16 2006, 0.80, 5
Jul 23 2006, 0.75, 5
Jul 30 2006, 0.75, 5
Aug 6 2006, 0.75, 5
Aug 13 2006, 0.80, 5
Aug 20 2006, 0.70, 5
Aug 27 2006, 0.75, 5
Sep 3 2006, 0.80, 5
Sep 10 2006, 0.80, 5
Sep 17 2006, 0.85, 5
Sep 24 2006, 0.80, 5
Oct 1 2006, 0.95, 5
Oct 8 2006, 1.00, 5
Oct 15 2006, 0.90, 5
Oct 22 2006, 0.95, 5
Oct 29 2006, 0.95, 5
Nov 5 2006, 1.20, 3
Nov 12 2006, 2.20, 2
Nov 19 2006, 5.25, 2
Nov 26 2006, 1.40, 3
Dec 3 2006, 1.35, 3
Dec 10 2006, 1.45, 3
Dec 17 2006, 2.30, 2
Dec 24 2006, 1.80, 3
Dec 31 2006, 0.95, 5
Jan 7 2007, 0.80, 5
Jan 14 2007, 0.70, 5
Jan 21 2007, 0.70, 5
Jan 28 2007, 0.70, 5
Feb 4 2007, 0.70, 5
Feb 11 2007, 0.75, 5
Feb 18 2007, 0.70, 5
Feb 25 2007, 0.65, 5
Mar 4 2007, 0.65, 5
Mar 11 2007, 0.65, 5
Mar 18 2007, 0.70, 5
Mar 25 2007, 0.65, 5
Apr 1 2007, 0.80, 5
Apr 8 2007, 0.75, 5
Apr 15 2007, 0.70, 5
Apr 22 2007, 0.70, 5
Apr 29 2007, 0.65, 5
May 6 2007, 0.65, 5
May 13 2007, 0.70, 5
May 20 2007, 0.70, 5
May 27 2007, 0.65, 5
Jun 3 2007, 0.75, 5
Jun 10 2007, 0.70, 5
Jun 17 2007, 0.65, 5
Jun 24 2007, 0.75, 5
Jul 1 2007, 0.75, 5
Jul 8 2007, 0.75, 5
Jul 15 2007, 0.75, 5
Jul 22 2007, 0.75, 5
Jul 29 2007, 0.75, 5
Aug 5 2007, 0.80, 5
Aug 12 2007, 0.75, 5
Aug 19 2007, 0.80, 5
Aug 26 2007, 0.75, 5
Sep 2 2007, 0.70, 5
Sep 9 2007, 0.80, 3
Sep 16 2007, 0.75, 5
Sep 23 2007, 0.85, 3
Sep 30 2007, 1.00, 3
Oct 7 2007, 0.95, 3
Oct 14 2007, 0.85, 3
Oct 21 2007, 0.85, 3
Oct 28 2007, 0.95, 3
Nov 4 2007, 1.15, 3
Nov 11 2007, 2.05, 2
Nov 18 2007, 5.80, 2
Nov 25 2007, 1.55, 3
Dec 2 2007, 1.55, 3
Dec 9 2007, 1.45, 3
Dec 16 2007, 2.00, 2
Dec 23 2007, 2.35, 2
Dec 30 2007, 1.10, 3
Jan 6 2008, 0.80, 3
Jan 13 2008, 0.75, 3
Jan 20 2008, 0.75, 3
Jan 27 2008, 0.80, 3
Feb 3 2008, 0.75, 3
Feb 10 2008, 0.70, 5
Feb 17 2008, 0.70, 5
Feb 24 2008, 0.70, 5
Mar 2 2008, 0.70, 5
Mar 9 2008, 0.65, 5
Mar 16 2008, 0.70, 5
Mar 23 2008, 0.70, 5
Mar 30 2008, 0.70, 5
Apr 6 2008, 0.70, 5
Apr 13 2008, 0.70, 5
Apr 20 2008, 0.65, 5
Apr 27 2008, 0.70, 5
May 4 2008, 0.65, 5
May 11 2008, 0.70, 5
May 18 2008, 0.65, 5
May 25 2008, 0.65, 5
Jun 1 2008, 0.70, 5
Jun 8 2008, 0.65, 5
Jun 15 2008, 0.70, 5
Jun 22 2008, 0.70, 5
Jun 29 2008, 0.70, 5
Jul 6 2008, 0.70, 5
Jul 13 2008, 0.75, 3
Jul 20 2008, 0.75, 3
Jul 27 2008, 0.75, 3
Aug 3 2008, 0.75, 3
Aug 10 2008, 0.75, 3
Aug 17 2008, 0.75, 3
Aug 24 2008, 0.75, 3
Aug 31 2008, 0.70, 5
Sep 7 2008, 0.75, 3
Sep 14 2008, 0.80, 3
Sep 21 2008, 0.80, 3
Sep 28 2008, 0.85, 3
Oct 5 2008, 1.00, 3
Oct 12 2008, 1.05, 3
Oct 19 2008, 0.85, 3
Oct 26 2008, 0.90, 3
Nov 2 2008, 1.00, 3
Nov 9 2008, 1.30, 2
Nov 16 2008, 2.15, 2
Nov 23 2008, 5.10, 2
Nov 30 2008, 1.30, 2
Dec 7 2008, 1.40, 2
Dec 14 2008, 1.70, 2
Dec 21 2008, 2.75, 2
Dec 28 2008, 1.20, 3
Jan 4 2009, 0.90, 3
Jan 11 2009, 0.80, 3
Jan 18 2009, 0.80, 3
Jan 25 2009, 0.75, 3
Feb 1 2009, 0.75, 3
Feb 8 2009, 0.70, 3
Feb 15 2009, 0.70, 3
Feb 22 2009, 0.70, 3
Mar 1 2009, 0.70, 3
Mar 8 2009, 0.70, 3
Mar 15 2009, 0.70, 3
Mar 22 2009, 0.75, 3
Mar 29 2009, 0.70, 3
Apr 5 2009, 0.75, 3
Apr 12 2009, 0.70, 3
Apr 19 2009, 0.70, 3
Apr 26 2009, 0.70, 3
May 3 2009, 0.70, 3
May 10 2009, 0.70, 3
May 17 2009, 0.70, 3
May 24 2009, 0.70, 3
May 31 2009, 0.70, 3
Jun 7 2009, 0.70, 3
Jun 14 2009, 0.70, 3
Jun 21 2009, 0.70, 3
Jun 28 2009, 0.75, 3
Jul 5 2009, 0.75, 3
Jul 12 2009, 0.75, 3
Jul 19 2009, 0.80, 3
Jul 26 2009, 0.80, 3
Aug 2 2009, 0.80, 3
Aug 9 2009, 0.80, 3
Aug 16 2009, 0.75, 3
Aug 23 2009, 0.80, 3
Aug 30 2009, 0.75, 3
Sep 6 2009, 0.80, 3
Sep 13 2009, 0.75, 3
Sep 20 2009, 0.85, 3
Sep 27 2009, 0.85, 3
Oct 4 2009, 1.05, 3
Oct 11 2009, 1.05, 3
Oct 18 2009, 0.95, 3
Oct 25 2009, 0.95, 3
Nov 1 2009, 1.05, 3
Nov 8 2009, 1.30, 2
Nov 15 2009, 2.15, 2
Nov 22 2009, 5.15, 2
Nov 29 2009, 1.40, 2
Dec 6 2009, 1.50, 2
Dec 13 2009, 1.75, 2
Dec 20 2009, 2.95, 2
Dec 27 2009, 1.30, 2
Jan 3 2010, 0.90, 3
Jan 10 2010, 0.90, 3
Jan 17 2010, 0.80, 3
Jan 24 2010, 0.80, 3
Jan 31 2010, 0.75, 3
Feb 7 2010, 0.80, 3
Feb 14 2010, 0.75, 3
Feb 21 2010, 0.75, 3
Feb 28 2010, 0.75, 3
Mar 7 2010, 0.75, 3
Mar 14 2010, 0.70, 3
Mar 21 2010, 0.75, 3
Mar 28 2010, 0.80, 3
Apr 4 2010, 0.70, 3
Apr 11 2010, 0.70, 3
Apr 18 2010, 0.70, 3
Apr 25 2010, 0.75, 3
May 2 2010, 0.75, 3
May 9 2010, 0.75, 3
May 16 2010, 0.75, 3
May 23 2010, 0.75, 3
May 30 2010, 0.70, 3
Jun 6 2010, 0.75, 3
Jun 13 2010, 0.75, 3
Jun 20 2010, 0.75, 3
Jun 27 2010, 0.75, 3
Jul 4 2010, 0.80, 3
Jul 11 2010, 0.80, 3
Jul 18 2010, 0.85, 3
Jul 25 2010, 0.85, 3
Aug 1 2010, 0.85, 3
Aug 8 2010, 0.90, 3
Aug 15 2010, 0.85, 3
Aug 22 2010, 0.85, 3
Aug 29 2010, 0.85, 3
Sep 5 2010, 0.85, 3
Sep 12 2010, 0.85, 3
Sep 19 2010, 0.90, 3
Sep 26 2010, 0.90, 3
Oct 3 2010, 1.05, 3
Oct 10 2010, 1.05, 3
Oct 17 2010, 1.00, 3
Oct 24 2010, 1.00, 3
Oct 31 2010, 1.10, 2
Nov 7 2010, 1.30, 2
Nov 14 2010, 2.25, 2
Nov 21 2010, 5.40, 2
Nov 28 2010, 1.50, 2
Dec 5 2010, 1.55, 2
Dec 12 2010, 1.85, 2
Dec 19 2010, 3.25, 2
Dec 26 2010, 1.50, 2
Jan 2 2011, 1.00, 3
Jan 9 2011, 0.95, 3
Jan 16 2011, 0.90, 3
Jan 23 2011, 0.85, 3
Jan 30 2011, 0.85, 3
Feb 6 2011, 0.90, 3
Feb 13 2011, 0.85, 3
Feb 20 2011, 0.80, 3
Feb 27 2011, 0.80, 3
Mar 6 2011, 0.80, 3
Mar 13 2011, 0.75, 3
Mar 20 2011, 0.80, 3
Mar 27 2011, 0.80, 3
Apr 3 2011, 0.80, 3
Apr 10 2011, 0.75, 3
Apr 17 2011, 0.85, 3
Apr 24 2011, 0.80, 3
May 1 2011, 0.75, 3
May 8 2011, 0.80, 3
May 15 2011, 0.75, 3
May 22 2011, 0.80, 3
May 29 2011, 0.80, 3
Jun 5 2011, 0.75, 3
Jun 12 2011, 0.80, 3
Jun 19 2011, 0.80, 3
Jun 26 2011, 0.80, 3
Jul 3 2011, 0.85, 3
Jul 10 2011, 0.85, 3
Jul 17 2011, 0.90, 3
Jul 24 2011, 0.90, 3
Jul 31 2011, 0.85, 3
Aug 7 2011, 0.80, 3
Aug 14 2011, 0.90, 3
Aug 21 2011, 0.85, 3
Aug 28 2011, 0.80, 3
Sep 4 2011, 0.85, 3
Sep 11 2011, 0.85, 3
Sep 18 2011, 0.90, 3
Sep 25 2011, 0.90, 3
Oct 2 2011, 1.05, 2
Oct 9 2011, 1.10, 2
Oct 16 2011, 1.05, 2
Oct 23 2011, 1.00, 2
Oct 30 2011, 1.10, 2
Nov 6 2011, 1.30, 2
Nov 13 2011, 2.20, 2
Nov 20 2011, 5.40, 2
Nov 27 2011, 1.45, 2
Dec 4 2011, 1.50, 2
Dec 11 2011, 1.75, 2
Dec 18 2011, 3.00, 2
Dec 25 2011, 1.75, 2
Jan 1 2012, 1.05, 2
Jan 8 2012, 0.95, 3
Jan 15 2012, 0.95, 3
Jan 22 2012, 0.90, 3
Jan 29 2012, 0.90, 3
Feb 5 2012, 0.85, 3
Feb 12 2012, 0.90, 3
Feb 19 2012, 0.90, 3
Feb 26 2012, 0.85, 3
Mar 4 2012, 0.80, 3
Mar 11 2012, 0.80, 3
Mar 18 2012, 0.80, 3
Mar 25 2012, 0.80, 3
Apr 1 2012, 0.85, 3
Apr 8 2012, 0.80, 3
Apr 15 2012, 0.80, 3
Apr 22 2012, 0.80, 3
Apr 29 2012, 0.80, 3
